order_id,date,customer,product,category,quantity,price
1001,2026-08-01,Northstar Retail,Wireless Barcode Scanner,Equipment,5,89.99
1002,2026-08-01,Delta Distribution,Safety Gloves,Safety,20,12.5
1003,2026-08-02,Urban Market,Packing Tape,Packaging,15,4.75
1004,2026-08-02,FreshWay Foods,Cardboard Boxes,Packaging,50,2.2
1005,2026-08-03,BrightMart,Pallet Wrap,Packaging,10,18.99
1006,2026-08-03,EuroTrade,Label Printer,Equipment,3,149.99
1007,2026-08-04,GreenLine Supplies,Shipping Labels,Packaging,100,0.35
1008,2026-08-04,MegaStore,Handheld Terminal,Equipment,4,399.0
1009,2026-08-05,HomePlus,Storage Bins,Storage,25,8.5
1010,2026-08-05,LogiPro,Safety Vest,Safety,12,16.75
1011,2026-08-06,Warehouse Solutions,Pallet Jack,Equipment,2,285.0
1012,2026-08-06,QuickShip,Stretch Film,Packaging,30,11.25
1013,2026-08-07,DailyGoods,Packing Scissors,Tools,8,7.99
1014,2026-08-07,Central Wholesale,Barcode Labels,Packaging,200,0.18
1015,2026-08-08,Prime Logistics,Warehouse Cart,Equipment,3,175.0
